ts_code,trade_date,update_time,name,price,open,high,low,pre_close,pct_chg,vol,amount
000001.SZ,20260721,20260721 14:12:39,平安银行,10.86,10.99,11.13,10.83,10.98,-1.0928961748634003,154361700,1695859522.96
000002.SZ,20260721,20260721 14:12:39,万 科Ａ,3.11,3.12,3.17,3.1,3.15,-1.2698412698412764,118411013,370304611.73
000006.SZ,20260721,20260721 14:12:39,深振业Ａ,5.97,5.88,6.07,5.58,5.82,2.577319587628857,25088226,146330785.44
000007.SZ,20260721,20260721 14:12:39,全新好,8.65,9.08,9.13,8.15,9.05,-4.41988950276243,14514407,122813781.04
000008.SZ,20260721,20260721 14:12:39,神州高铁,2.25,2.28,2.29,2.21,2.28,-1.3157894736842035,30941740,69473325.7
000009.SZ,20260721,20260721 14:12:39,中国宝安,6.19,6.04,6.29,6.04,6.08,1.8092105263157965,33331206,207208093.66
000010.SZ,20260721,20260721 14:12:21,*ST美丽,1.49,1.55,1.57,1.4,1.55,-3.8709677419354827,27188099,39211198.52
000011.SZ,20260721,20260721 14:12:36,深物业A,6.8,6.86,7.2,6.74,6.83,-0.43923865300147247,7506329,52362519.19
000012.SZ,20260721,20260721 14:12:39,南 玻Ａ,3.85,3.74,3.9,3.72,3.73,3.217158176943702,36912192,140734576.15
000014.SZ,20260721,20260721 14:12:39,沙河股份,8.72,9.0,9.06,8.31,8.98,-2.8953229398663627,11217981,96906763.42
000016.SZ,20260721,20260721 14:12:30,*ST康佳A,2.43,2.41,2.46,2.32,2.4,1.2500000000000178,17517705,41972401.61
000017.SZ,20260721,20260721 14:12:36,深中华A,5.06,5.2,5.25,4.89,5.2,-2.692307692307705,12730598,64437216.84
000019.SZ,20260721,20260721 14:12:39,深粮控股,5.93,6.05,6.08,5.91,6.05,-1.983471074380172,6418638,38349492.61
000020.SZ,20260721,20260721 14:12:39,深华发Ａ,9.69,9.76,9.9,9.15,9.76,-0.7172131147541005,4650005,44447926.4
000021.SZ,20260721,20260721 14:12:39,深科技,38.65,35.78,38.65,31.82,35.14,9.988616960728503,183544314,6522464178.47
000025.SZ,20260721,20260721 14:12:36,特 力Ａ,13.78,13.75,13.99,13.6,13.79,-0.07251631617113397,4194346,57814635.9
000026.SZ,20260721,20260721 14:12:39,飞亚达,16.2,15.8,16.24,14.5,15.63,3.6468330134356908,11033846,169915359.36
000027.SZ,20260721,20260721 14:12:39,深圳能源,6.36,6.38,6.45,6.28,6.42,-0.9345794392523255,41254650,263128841.54
000028.SZ,20260721,20260721 14:12:39,国药一致,20.8,20.92,21.25,20.74,21.01,-0.9995240361732494,3941933,82724206.11
000029.SZ,20260721,20260721 14:12:39,深深房Ａ,20.69,20.31,20.94,19.71,20.45,1.1735941320293541,5816477,118470783.81
000030.SZ,20260721,20260721 14:12:39,富奥股份,4.19,4.16,4.24,4.14,4.15,0.9638554216867545,13156615,55284793.6
000031.SZ,20260721,20260721 14:12:39,大悦城,2.07,2.09,2.11,2.03,2.09,-0.9569377990430672,34831220,71703831.8
000032.SZ,20260721,20260721 14:12:39,深桑达Ａ,16.01,14.96,16.2,13.87,14.84,7.884097035040449,65558043,990992920.83
000034.SZ,20260721,20260721 14:12:39,神州数码,25.11,24.95,25.52,23.42,24.95,0.6412825651302523,57189498,1413527853.96
000035.SZ,20260721,20260721 14:12:39,中国天楹,4.42,4.37,4.47,4.34,4.38,0.9132420091324311,36800336,162306462.76
000036.SZ,20260721,20260721 14:12:39,华联控股,3.86,4.18,4.18,3.73,4.14,-6.763285024154586,73811504,282300348.14
000037.SZ,20260721,20260721 14:12:39,深南电A,9.53,9.8,9.99,9.11,10.12,-5.830039525691699,50929728,479079966.16
000039.SZ,20260721,20260721 14:12:39,中集集团,8.01,7.94,8.07,7.82,7.96,0.6281407035175768,50567817,401061406.88
000042.SZ,20260721,20260721 14:12:39,中洲控股,7.97,8.24,8.27,7.88,8.3,-3.975903614457843,10712921,85998350.21
000045.SZ,20260721,20260721 14:12:39,深纺织Ａ,8.78,8.82,8.94,8.48,8.87,-1.014656144306647,6976800,60980883.97
000048.SZ,20260721,20260721 14:12:39,京基智农,20.22,18.38,20.22,17.02,18.38,10.010881392818272,27873700,529892622.73
000049.SZ,20260721,20260721 14:12:39,德赛电池,24.12,23.58,24.35,23.57,23.76,1.5151515151515138,8105840,195364007.15
000050.SZ,20260721,20260721 14:12:39,深天马Ａ,6.32,6.15,6.33,6.05,6.15,2.764227642276418,38197330,237520888.35
000055.SZ,20260721,20260721 14:12:39,方大集团,3.22,3.23,3.24,3.13,3.23,-0.3095975232198067,13314254,42392464.31
000056.SZ,20260721,20260721 14:12:39,*ST皇庭,1.69,1.7,1.74,1.53,1.69,0.0,26019200,42486212.0
000058.SZ,20260721,20260721 14:12:39,深 赛 格,6.06,6.12,6.16,6.02,6.09,-0.49261083743842304,7052256,42917399.49
000059.SZ,20260721,20260721 14:12:39,华锦股份,4.41,4.45,4.5,4.37,4.51,-2.2172949002217224,29220621,129325380.82
000060.SZ,20260721,20260721 14:12:39,中金岭南,6.19,5.99,6.21,5.92,5.95,4.033613445378159,106659068,647992976.57
000061.SZ,20260721,20260721 14:12:39,农 产 品,5.72,5.71,5.87,5.66,5.73,-0.17452006980803736,22387845,129599430.46
000062.SZ,20260721,20260721 14:12:39,深圳华强,22.7,22.17,22.93,20.77,21.9,3.65296803652968,30866638,678948399.29
000063.SZ,20260721,20260721 14:12:39,中兴通讯,34.5,33.85,34.86,32.39,33.73,2.2828342721612938,200203799,6760025848.72
000065.SZ,20260721,20260721 14:12:39,北方国际,9.01,8.96,9.11,8.88,9.0,0.11111111111110628,12611282,113428959.18
000066.SZ,20260721,20260721 14:12:39,中国长城,14.88,14.58,15.07,13.58,14.4,3.3333333333333437,168124552,2429482603.21
000068.SZ,20260721,20260721 14:12:39,华控赛格,2.55,2.58,2.59,2.46,2.59,-1.5444015444015413,17291093,43715581.57
000069.SZ,20260721,20260721 14:12:39,华侨城Ａ,1.66,1.68,1.7,1.64,1.69,-1.7751479289940808,49332098,82059989.62
000070.SZ,20260721,20260721 14:12:39,特发信息,13.45,13.08,13.49,11.57,12.85,4.669260700389111,70574023,881327283.38
000078.SZ,20260721,20260721 14:12:39,ST海王,1.61,1.69,1.7,1.58,1.76,-8.52272727272727,156964385,252297673.85
000088.SZ,20260721,20260721 14:12:39,盐 田 港,4.34,4.37,4.45,4.33,4.37,-0.6864988558352492,30177147,132505298.5
000089.SZ,20260721,20260721 14:12:39,深圳机场,6.67,6.68,6.81,6.64,6.68,-0.14970059880239361,27654209,186443450.84
000090.SZ,20260721,20260721 14:12:39,天健集团,3.21,3.23,3.26,3.19,3.21,0.0,17408731,56107288.18
000096.SZ,20260721,20260721 14:12:39,广聚能源,7.49,7.67,7.72,7.43,7.81,-4.097311139564653,14364812,108818756.84
000099.SZ,20260721,20260721 14:12:39,中信海直,14.01,13.67,14.13,13.61,13.67,2.4871982443306573,10383855,145141128.42
000100.SZ,20260721,20260721 14:12:39,TCL科技,5.3,5.0,5.35,4.99,4.97,6.639839034205242,1022997259,5301355900.06
000151.SZ,20260721,20260721 14:12:36,中成股份,8.96,8.94,9.06,8.55,8.98,-0.22271714922048602,7707403,67846676.46
000153.SZ,20260721,20260721 14:12:36,丰原药业,5.31,5.46,5.48,5.21,5.46,-2.7472527472527486,9995517,53066322.64
000155.SZ,20260721,20260721 14:12:39,川能动力,10.97,10.89,11.02,10.7,11.04,-0.6340579710144789,38404836,418592306.29
000156.SZ,20260721,20260721 14:12:39,华数传媒,6.67,6.7,6.87,6.66,6.72,-0.7440476190476164,10618302,71869473.04
000157.SZ,20260721,20260721 14:12:39,中联重科,7.44,7.39,7.53,7.36,7.38,0.8130081300813163,57854446,430878281.82
000158.SZ,20260721,20260721 14:12:39,常山北明,12.26,12.21,12.41,11.92,12.28,-0.16286644951140072,24137502,294975551.16
000159.SZ,20260721,20260721 14:12:39,国际实业,5.09,5.23,5.25,4.9,5.23,-2.6768642447418833,16296509,81767864.56
000166.SZ,20260721,20260721 14:12:39,申万宏源,4.67,4.71,4.78,4.66,4.71,-0.849256900212314,109782531,517256045.57
000301.SZ,20260721,20260721 14:12:39,东方盛虹,11.55,11.65,11.88,11.31,11.87,-2.695871946082551,30078874,347323010.37
000333.SZ,20260721,20260721 14:12:39,美的集团,84.35,84.15,85.75,83.61,84.3,0.05931198102016033,38109581,3224978388.36
000338.SZ,20260721,20260721 14:12:39,潍柴动力,26.31,24.6,26.65,24.42,24.29,8.316179497735687,119595396,3075737311.8
000400.SZ,20260721,20260721 14:12:39,许继电气,21.84,21.61,22.37,21.48,21.96,-0.5464480874316946,31550149,691948060.85
000401.SZ,20260721,20260721 14:12:33,金隅冀东,3.56,3.66,3.68,3.56,3.66,-2.732240437158473,8961700,32380018.0
000402.SZ,20260721,20260721 14:12:39,金 融 街,2.37,2.41,2.42,2.36,2.42,-2.066115702479332,32513227,77337996.98
000403.SZ,20260721,20260721 14:12:39,派林生物,9.55,9.73,9.9,9.54,9.72,-1.7489711934156382,17258310,167664392.64
000404.SZ,20260721,20260721 14:12:39,长虹华意,7.58,7.47,7.65,7.38,7.47,1.4725568942436373,12411000,93567260.76
000407.SZ,20260721,20260721 14:12:36,胜利股份,3.79,3.85,3.85,3.71,3.88,-2.319587628865971,17849588,67117904.88
000408.SZ,20260721,20260721 14:12:39,藏格矿业,72.49,70.75,72.56,70.6,69.84,3.794387170675817,15439808,1101887989.84
000409.SZ,20260721,20260721 14:12:30,云鼎科技,8.24,8.2,8.31,8.1,8.24,0.0,5107859,41947745.21
000410.SZ,20260721,20260721 14:12:39,沈阳机床,4.63,4.59,4.72,4.58,4.59,0.8714596949891185,20872680,96945553.38
000411.SZ,20260721,20260721 14:12:39,英特集团,9.25,9.38,9.44,9.16,9.38,-1.3859275053304976,5740611,53279833.09
000415.SZ,20260721,20260721 14:12:39,渤海租赁,4.2,4.21,4.33,4.18,4.19,0.23866348448686736,84785550,360593682.0
000417.SZ,20260721,20260721 14:12:39,合百集团,5.54,5.47,5.61,5.09,5.46,1.46520146520146,44775483,239674633.33
000419.SZ,20260721,20260721 14:12:39,通程控股,4.59,4.71,4.73,4.53,4.71,-2.547770700636942,9019700,41632662.0
000420.SZ,20260721,20260721 14:12:39,吉林化纤,3.61,3.55,3.65,3.54,3.55,1.6901408450704203,50182817,180868865.71
000421.SZ,20260721,20260721 14:12:39,南京公用,5.21,5.3,5.33,5.16,5.32,-2.0676691729323404,8825806,46223289.08
