rank,ts_code,name,trade_date,update_time,price,pct_chg,pre_day_limitup,today_limitup,sector_name,sector_strength_score,stock_strength_score,acceptance_score,momentum_score,capital_score,risk_penalty_score,p_limitup_t1,wp_score,model_confidence,signal_level,core_reason,risk_reason,next_trade_date,label_t1_limitup,next_high,next_up_limit,backtest_trade_date
1,920478.BJ,峆一药业,20260701,2026-07-01,10.45,15.9822,0,0,化学制药,100.0,100.0,75.76293682242991,87.90209999999999,100.0,0.0,99.88086710543338,92.26172259813085,95.0,S级,所属板块强度靠前，个股涨幅和量价强度较高，收盘位置较好且资金承接较强，短线动量保持向上。,当前主要风险可控，但次日仍需观察板块延续性。,20260702,0,11.5,13.58,20260701
2,688578.SH,艾力斯,20260701,2026-07-01,125.81,15.2106,0,0,化学制药,100.0,100.0,71.73428494039103,83.6583,100.0,0.0,99.86860323584924,91.44444664473056,95.0,S级,所属板块强度靠前，个股涨幅和量价强度较高，收盘位置较好且资金承接较强，短线动量保持向上。,当前主要风险可控，但次日仍需观察板块延续性。,20260702,0,134.85,150.97,20260701
3,301281.SZ,科源制药,20260701,2026-07-01,56.29,14.1785,0,0,化学制药,100.0,100.0,68.89317827160492,77.98175,100.0,0.0,99.83816765082464,89.9629217654321,95.0,S级,所属板块强度靠前，个股涨幅和量价强度较高，收盘位置较好且资金承接较强，短线动量保持向上。,当前主要风险可控，但次日仍需观察板块延续性。,20260702,0,59.24,67.55,20260701
4,688513.SH,苑东生物,20260701,2026-07-01,51.0,16.0146,0,0,化学制药,100.0,100.0,62.146138639328996,88.08030000000001,100.0,0.0,99.83383183914596,89.67062212674743,95.0,S级,所属板块强度靠前，个股涨幅和量价强度较高，短线动量保持向上。,当前主要风险可控，但次日仍需观察板块延续性。,20260702,0,54.24,61.2,20260701
5,688799.SH,华纳药厂,20260701,2026-07-01,50.8,13.672,0,0,化学制药,100.0,100.0,67.97257058945188,75.19600000000001,100.0,0.0,99.83074482808414,89.61282146018614,95.0,S级,所属板块强度靠前，个股涨幅和量价强度较高，收盘位置较好且资金承接较强，短线动量保持向上。,当前主要风险可控，但次日仍需观察板块延续性。,20260702,0,53.0,60.96,20260701
6,301089.SZ,拓新药业,20260701,2026-07-01,22.65,10.9207,0,0,化学制药,100.0,100.0,71.7059940298507,60.063849999999995,100.0,0.0,99.81346024097599,88.95485992537311,95.0,S级,所属板块强度靠前，个股涨幅和量价强度较高，收盘位置较好且资金承接较强。,当前主要风险可控，但次日仍需观察板块延续性。,20260702,0,23.4,27.18,20260701
7,688176.SH,亚虹医药,20260701,2026-07-01,11.19,12.8024,0,0,化学制药,100.0,100.0,63.12362589595373,70.4132,100.0,0.0,99.79104882967682,88.05188332947976,95.0,S级,所属板块强度靠前，个股涨幅和量价强度较高，短线动量保持向上。,当前主要风险可控，但次日仍需观察板块延续性。,20260702,0,11.43,13.43,20260701
8,003020.SZ,立方制药,20260701,2026-07-01,16.16,9.1155,0,0,化学制药,100.0,100.0,68.35071345029243,50.135250000000006,100.0,0.0,99.7651538514155,87.26261505847954,95.0,S级,所属板块强度靠前，个股涨幅和量价强度较高，收盘位置较好且资金承接较强。,当前主要风险可控，但次日仍需观察板块延续性。,20260702,0,16.78,17.78,20260701
9,300199.SZ,翰宇药业,20260701,2026-07-01,23.93,8.3786,0,0,化学制药,100.0,94.95626060606062,75.35545333333337,46.0823,100.0,0.0,99.76143533354501,86.99793127272729,95.0,S级,所属板块强度靠前，个股涨幅和量价强度较高，收盘位置较好且资金承接较强。,当前主要风险可控，但次日仍需观察板块延续性。,20260702,0,25.2,28.72,20260701
10,002422.SZ,科伦药业,20260701,2026-07-01,41.95,8.9045,0,0,化学制药,100.0,100.0,67.38998788990831,48.97475,100.0,0.0,99.75520247930633,86.95207808256883,95.0,S级,所属板块强度靠前，个股涨幅和量价强度较高，收盘位置较好且资金承接较强。,当前主要风险可控，但次日仍需观察板块延续性。,20260702,0,45.68,46.15,20260701
