buy_rank,portfolio_group,ts_code,name,rank,price,pct_chg,sector_name,tail_profit_score,tail_profit_model_version,amount_ratio_5d,p_limitup_t1,wp_score,decision_score,model_confidence,risk_penalty_score,acceptance_score,momentum_score,close_position,intraday_pullback_pct,intraday_vwap_position,confirm_before_buy,reject_if,buy_reason,forecast_model_version,forecast_mode,forecast_warning,forecast_sample_count,forecast_live_sample_count,forecast_proxy_sample_count,forecast_effective_sample_count,forecast_confidence,forecast_open_q10_pct,forecast_open_q50_pct,forecast_open_q90_pct,forecast_high_q10_pct,forecast_high_q50_pct,forecast_high_q90_pct,forecast_low_q10_pct,forecast_low_q50_pct,forecast_low_q90_pct,forecast_close_q10_pct,forecast_close_q50_pct,forecast_close_q90_pct,forecast_open_q10_price,forecast_open_q50_price,forecast_open_q90_price,forecast_high_q10_price,forecast_high_q50_price,forecast_high_q90_price,forecast_low_q10_price,forecast_low_q50_price,forecast_low_q90_price,forecast_close_q10_price,forecast_close_q50_price,forecast_close_q90_price,forecast_profit_probability,forecast_touch_plus3_probability,forecast_touch_minus3_probability,forecast_open_below_minus3_probability,forecast_limit_touch_probability,forecast_expected_net_return_pct,forecast_downside_q10_pct,forecast_risk_adjusted_utility,forecast_path_status,buy_flag,decision_action,skip_reason
1,主票,600667.SH,太极实业,1,16.39,8.04218852999341,半导体,88.636364,tail_profit_v1,1.0450356956687563,2.209103574761817,58.79581561570365,88.636364,72.57950941956076,1.2609096901779708,63.9913582047614,5.0,94.80968858131492,0.9151921903599592,5.560326320309161,守8%、承接稳,破8%/急回落/板块转弱,涨幅不过热、资金强、板块强,t1_ohlc_quantile_v1,混合先验,真实尾盘样本尚少，仍含收盘日线代理先验,76,4,72,65.98,61.2,-3.6638,-1.0738,2.1841,-0.4162,3.534,9.9995,-7.5769,-4.0625,-0.8034,-6.1975,0.1806,9.9968,15.7895,16.214,16.748,16.3218,16.9692,18.0289,15.1481,15.7242,16.2583,15.3742,16.4196,18.0285,45.13,54.19,59.51,12.88,19.91,0.1098,-7.5769,-1.4056,已预测触及概率；先涨后跌顺序待T+1分时样本,1,买入观察,
,,601208.SH,东材科技,2,42.69,8.048595292331061,化工原料,73.636364,tail_profit_v1,1.1600344857522689,1.9675216737021413,58.67557262845824,73.636364,72.72146425288734,0.6930903568716686,91.71311728507033,5.065371244239389,97.13896457765668,0.4919184820801225,5.711927362773417,守8%、承接稳,破8%/急回落/板块转弱,涨幅不过热、资金强、风险低,t1_ohlc_quantile_v1,混合先验,真实尾盘样本尚少，仍含收盘日线代理先验,76,4,72,67.81,61.2,-3.2378,-1.1062,2.1841,-0.4162,3.5049,9.9995,-7.5769,-4.0625,-0.8034,-6.963,0.1509,9.9968,41.3078,42.2178,43.6224,42.5123,44.1862,46.9588,39.4554,40.9557,42.347,39.7175,42.7544,46.9576,44.01,52.92,59.98,12.05,19.94,0.0705,-7.5769,-1.4448,已预测触及概率；先涨后跌顺序待T+1分时样本,0,备选观察,
,,603650.SH,彤程新材,3,65.61,8.000000000000007,化工原料,73.181818,tail_profit_v1,1.043743292010343,1.0368615318975345,52.62118649863221,73.181818,72.89473684210526,0.0,81.45558048383853,9.203371251156899,96.43947100712111,0.5334552659655545,4.864144912093771,守8%、承接稳,破8%/急回落/板块转弱,涨幅不过热、风险低,t1_ohlc_quantile_v1,混合先验,真实尾盘样本尚少，仍含收盘日线代理先验,76,4,72,67.43,61.2,-3.2378,-1.1062,2.1841,-0.4162,3.5049,9.9995,-7.5769,-4.0625,-0.8034,-6.963,0.1509,9.9968,63.4857,64.8842,67.043,65.3369,67.9096,72.1707,60.6388,62.9446,65.0829,61.0416,65.709,72.1689,43.86,52.81,60.06,12.05,19.92,0.0621,-7.5769,-1.4533,已预测触及概率；先涨后跌顺序待T+1分时样本,0,备选观察,
,,603296.SH,华勤技术,4,79.2,8.078602620087349,元器件,72.5,tail_profit_v1,0.8755847433568985,1.7020800561060456,66.40774061808506,72.5,72.89473684210526,0.0,79.37747233007751,66.55235661428767,95.77464788732398,0.3787878787878673,2.8126352228472484,守8%、承接稳,破8%/急回落/板块转弱,涨幅不过热、板块强、风险低,t1_ohlc_quantile_v1,混合先验,真实尾盘样本尚少，仍含收盘日线代理先验,76,4,72,66.28,61.2,-3.2378,-1.1062,2.1841,-0.4162,3.5049,9.9995,-7.5769,-4.0628,-0.8034,-6.1975,0.1509,9.9968,76.6357,78.3239,80.9298,78.8704,81.9759,87.1196,73.1991,75.9823,78.5637,74.2916,79.3195,87.1175,43.25,52.99,60.37,12.54,19.72,0.0206,-7.5769,-1.4948,已预测触及概率；先涨后跌顺序待T+1分时样本,0,备选观察,
,,000338.SZ,潍柴动力,5,26.29,8.233841086867022,汽车配件,64.090909,tail_profit_v1,1.1410264906915446,1.3452352934383665,41.67999836555303,64.090909,72.89473684210526,0.0,35.034216356384825,37.11589193918819,83.85650224215246,1.3693419551160213,1.9519131334022832,守8%、承接稳,破8%/急回落/板块转弱,涨幅不过热、风险低,t1_ohlc_quantile_v1,混合先验,真实尾盘样本尚少，仍含收盘日线代理先验,76,4,72,67.45,61.2,-3.2334,-1.1062,2.473,-0.7001,3.5049,9.9995,-8.89,-4.0625,-0.8034,-6.963,0.1509,9.9968,25.4399,25.9992,26.9402,26.1059,27.2114,28.9189,23.9528,25.222,26.0788,24.4594,26.3297,28.9182,42.61,52.5,59.99,11.98,19.87,-0.0226,-8.89,-1.8006,已预测触及概率；先涨后跌顺序待T+1分时样本,0,备选观察,
,,000811.SZ,冰轮环境,6,43.42,8.009950248756216,工程机械,57.272727,tail_profit_v1,0.8803463522042677,0.6147714757523444,32.81599602357292,57.272727,72.89473684210526,0.0,44.31859921710853,10.403808137983592,93.00291545189508,1.1054813450023016,4.744290768735926,守8%、承接稳,破8%/急回落/板块转弱,涨幅不过热、风险低,t1_ohlc_quantile_v1,混合先验,真实尾盘样本尚少，仍含收盘日线代理先验,76,4,72,66.69,61.2,-3.2378,-1.1446,2.473,-0.7001,3.5049,9.9995,-8.89,-4.0628,-0.8034,-6.963,0.1141,9.9968,42.0141,42.923,44.4938,43.116,44.9418,47.7618,39.56,41.6559,43.0712,40.3967,43.4695,47.7606,42.24,52.48,60.37,12.11,20.3,-0.0046,-8.89,-1.7826,已预测触及概率；先涨后跌顺序待T+1分时样本,0,备选观察,
,,600183.SH,生益科技,7,134.24,8.837360142694983,元器件,56.590909,tail_profit_v1,0.920272559888582,2.206441369992189,61.78269861121087,56.590909,72.89473684210526,0.0,61.17368414446483,17.782347744416732,94.5762711864408,0.7151370679379987,4.078151651418849,守8%、承接稳,破8%/急回落/板块转弱,涨幅不过热、资金强、板块强,t1_ohlc_quantile_v1,混合先验,真实尾盘样本尚少，仍含收盘日线代理先验,76,4,72,64.84,61.2,-3.2334,-1.1446,2.1841,-0.7001,3.5049,9.9968,-7.5769,-4.0628,-0.8574,-6.1975,0.1141,9.9967,129.8995,132.7035,137.1719,133.3002,138.945,147.6597,124.0688,128.7861,133.089,125.9205,134.3932,147.6596,40.91,52.86,60.13,11.95,19.1,-0.0661,-7.5769,-1.5815,已预测触及概率；先涨后跌顺序待T+1分时样本,0,备选观察,
,,600584.SH,长电科技,8,83.71,8.72840628653071,半导体,55.454545,tail_profit_v1,0.9002318741461566,2.173023355931508,71.0399267997405,55.454545,72.56282360662013,1.3276529419405065,89.81223982700797,28.840011102716566,98.02855200543844,0.3464341177876084,5.962025316455688,守8%、承接稳,破8%/急回落/板块转弱,涨幅不过热、资金强、板块强,t1_ohlc_quantile_v1,混合先验,真实尾盘样本尚少，仍含收盘日线代理先验,76,4,72,65.8,61.2,-3.2334,-1.1062,2.473,-0.7001,3.5049,9.9995,-7.5769,-4.0625,-0.8034,-6.1975,0.1141,9.9967,81.0033,82.784,85.7801,83.1239,86.644,92.0806,77.3674,80.3093,83.0375,78.5221,83.8055,92.0782,41.52,53.38,59.64,12.06,19.78,-0.0151,-7.5769,-1.5305,已预测触及概率；先涨后跌顺序待T+1分时样本,0,备选观察,
,,002645.SZ,华宏科技,9,17.23,8.296668761785053,专用机械,53.409091,tail_profit_v1,1.0044669930590506,0.6321488342113444,52.25753757734502,53.409091,72.89473684210526,0.0,78.49954709092592,7.877828614596689,96.36363636363645,0.5803830528148479,5.189255189255193,守8%、承接稳,破8%/急回落/板块转弱,涨幅不过热、风险低,t1_ohlc_quantile_v1,混合先验,真实尾盘样本尚少，仍含收盘日线代理先验,76,4,72,66.74,61.2,-3.2334,-1.1446,2.473,-0.7001,3.5049,9.9995,-7.5769,-4.0628,-0.8034,-6.1975,0.1141,9.9968,16.6729,17.0328,17.6561,17.1094,17.8339,18.9529,15.9245,16.53,17.0916,16.1622,17.2497,18.9524,42.09,52.8,60.14,11.96,20.62,0.0425,-7.5769,-1.4729,已预测触及概率；先涨后跌顺序待T+1分时样本,0,备选观察,
,,603773.SH,沃格光电,10,83.6,8.64197530864197,元器件,52.5,tail_profit_v1,1.1446808098696346,1.6064883618735046,64.59565312025144,52.5,72.49746588693957,1.589083820662752,83.92876752211767,11.792636372467287,96.43577673167452,0.6339712918660201,5.827250094940717,守8%、承接稳,破8%/急回落/板块转弱,涨幅不过热、板块强、风险低,t1_ohlc_quantile_v1,混合先验,真实尾盘样本尚少，仍含收盘日线代理先验,76,4,72,66.51,61.2,-3.2334,-1.1446,2.1841,-0.7001,3.5049,9.9995,-7.5769,-4.0628,-0.8574,-6.1975,0.1141,9.9968,80.8969,82.6431,85.4259,83.0147,86.5301,91.9596,77.2657,80.2035,82.8832,78.4189,83.6954,91.9573,41.21,52.94,60.12,12.05,19.65,-0.0404,-7.5769,-1.5557,已预测触及概率；先涨后跌顺序待T+1分时样本,0,备选观察,
