ts_code,name,price,pct_chg,sector_name,tail_profit_score,forecast_model_version,forecast_mode,forecast_warning,forecast_sample_count,forecast_live_sample_count,forecast_proxy_sample_count,forecast_effective_sample_count,forecast_confidence,forecast_open_q10_pct,forecast_open_q50_pct,forecast_open_q90_pct,forecast_high_q10_pct,forecast_high_q50_pct,forecast_high_q90_pct,forecast_low_q10_pct,forecast_low_q50_pct,forecast_low_q90_pct,forecast_close_q10_pct,forecast_close_q50_pct,forecast_close_q90_pct,forecast_open_q10_price,forecast_open_q50_price,forecast_open_q90_price,forecast_high_q10_price,forecast_high_q50_price,forecast_high_q90_price,forecast_low_q10_price,forecast_low_q50_price,forecast_low_q90_price,forecast_close_q10_price,forecast_close_q50_price,forecast_close_q90_price,forecast_profit_probability,forecast_touch_plus3_probability,forecast_touch_minus3_probability,forecast_open_below_minus3_probability,forecast_limit_touch_probability,forecast_expected_net_return_pct,forecast_downside_q10_pct,forecast_risk_adjusted_utility,forecast_path_status
000034.SZ,神州数码,27.62,9.429477020602238,软件服务,54.25,t1_ohlc_quantile_v1,混合先验,真实尾盘样本尚少，仍含收盘日线代理先验,78,6,72,60.99,61.8,-3.2334,-1.1446,2.1841,-0.7001,3.534,9.9967,-7.5769,-4.0625,-0.8574,-6.1975,0.1509,9.9939,26.7269,27.3039,28.2232,27.4266,28.5961,30.3811,25.5273,26.4979,27.3832,25.9083,27.6617,30.3803,41.53,53.87,57.81,11.23,17.18,0.0052,-7.5769,-1.5102,已预测触及概率；先涨后跌顺序待T+1分时样本
000063.SZ,中兴通讯,38.03,9.030963302752282,通信设备,82.75,t1_ohlc_quantile_v1,混合先验,真实尾盘样本尚少，仍含收盘日线代理先验,78,6,72,62.26,61.8,-3.0093,-1.1062,1.4243,-0.4162,3.534,9.9968,-7.5682,-3.9482,-0.8574,-6.1002,0.1806,9.9967,36.8856,37.6093,38.5717,37.8717,39.374,41.8318,35.1518,36.5285,37.7039,35.7101,38.0987,41.8317,44.18,54.3,57.13,10.92,17.16,0.2149,-7.5682,-1.2988,已预测触及概率；先涨后跌顺序待T+1分时样本
000571.SZ,新大洲A,6.19,8.59649122807018,煤炭开采,52.75,t1_ohlc_quantile_v1,混合先验,真实尾盘样本尚少，仍含收盘日线代理先验,78,6,72,66.15,61.8,-3.2334,-1.1446,2.1841,-0.7001,3.5049,9.9968,-7.5769,-4.0625,-0.8574,-6.1975,0.1141,9.9967,5.9899,6.1191,6.3252,6.1467,6.407,6.8088,5.721,5.9385,6.1369,5.8064,6.1971,6.8088,42.26,52.45,58.74,11.17,18.35,0.0572,-7.5769,-1.4581,已预测触及概率；先涨后跌顺序待T+1分时样本
001229.SZ,魅视科技,37.56,9.217795870892708,IT设备,51.25,t1_ohlc_quantile_v1,混合先验,真实尾盘样本尚少，仍含收盘日线代理先验,78,6,72,63.09,61.8,-3.0093,-1.1062,2.1841,-0.7001,3.534,9.9968,-7.5769,-4.0625,-0.8574,-6.1975,0.1509,9.9967,36.4297,37.1445,38.3803,37.297,38.8874,41.3148,34.7141,36.0341,37.238,35.2322,37.6167,41.3148,41.81,54.08,57.96,10.91,17.81,0.0831,-7.5769,-1.4323,已预测触及概率；先涨后跌顺序待T+1分时样本
002897.SZ,意华股份,66.58,8.13707974662985,元器件,80.5,t1_ohlc_quantile_v1,混合先验,真实尾盘样本尚少，仍含收盘日线代理先验,78,6,72,60.93,61.8,-3.2378,-1.1062,1.4243,-0.3474,3.534,9.9968,-7.5769,-4.0855,-0.8574,-6.1975,0.1509,9.9967,64.4243,65.8435,67.5283,66.3487,68.9329,73.2359,61.5353,63.8599,66.0091,62.4537,66.6805,73.2358,45.17,54.01,60.53,13.24,18.8,0.1883,-7.5769,-1.327,已预测触及概率；先涨后跌顺序待T+1分时样本
600400.SH,红豆股份,2.7,9.311740890688249,服饰,27.25,t1_ohlc_quantile_v1,混合先验,真实尾盘样本尚少，仍含收盘日线代理先验,78,6,72,59.98,61.8,-3.2334,-1.1446,2.1841,-0.7001,3.534,9.9968,-7.5682,-4.0625,-0.8574,-6.1002,0.1509,9.9939,2.6127,2.6691,2.759,2.6811,2.7954,2.9699,2.4957,2.5903,2.6769,2.5353,2.7041,2.9698,40.51,54.26,57.71,11.25,18.16,0.0623,-7.5682,-1.4514,已预测触及概率；先涨后跌顺序待T+1分时样本
600403.SH,大有能源,5.69,9.845559845559858,煤炭开采,20.25,t1_ohlc_quantile_v1,混合先验,真实尾盘样本尚少，仍含收盘日线代理先验,78,6,72,55.13,61.8,-3.2334,-1.2933,2.1841,-0.7001,3.7214,9.9968,-7.5026,-3.9482,-0.8574,-6.1002,0.1509,9.9939,5.506,5.6164,5.8143,5.6502,5.9017,6.2588,5.2631,5.4653,5.6412,5.3429,5.6986,6.2587,40.27,55.68,57.09,11.78,18.08,0.1055,-7.5026,-1.395,已预测触及概率；先涨后跌顺序待T+1分时样本
600722.SH,金牛化工,9.89,9.766925638179805,化工原料,34.75,t1_ohlc_quantile_v1,混合先验,真实尾盘样本尚少，仍含收盘日线代理先验,78,6,72,55.96,61.8,-3.2334,-1.2933,2.1841,-0.7001,3.7175,9.9967,-7.5682,-3.9482,-0.8574,-6.1002,0.1509,9.9939,9.5702,9.7621,10.106,9.8208,10.2577,10.8787,9.1415,9.4995,9.8052,9.2867,9.9049,10.8784,40.42,54.75,57.3,11.63,17.44,0.0393,-7.5682,-1.4744,已预测触及概率；先涨后跌顺序待T+1分时样本
601168.SH,西部矿业,36.97,9.152642456451131,铜,62.75,t1_ohlc_quantile_v1,混合先验,真实尾盘样本尚少，仍含收盘日线代理先验,78,6,72,63.04,61.8,-3.0093,-1.1446,2.1841,-0.7001,3.5049,9.9968,-7.5769,-4.0625,-0.8574,-6.1975,0.1509,9.9939,35.8575,36.5468,37.7775,36.7112,38.2658,40.6658,34.1688,35.4681,36.653,34.6788,37.0258,40.6647,42.34,53.25,58.05,10.82,17.26,0.0278,-7.5769,-1.4876,已预测触及概率；先涨后跌顺序待T+1分时样本
603580.SH,艾艾精工,39.9,9.645507007419615,塑料,28.5,t1_ohlc_quantile_v1,混合先验,真实尾盘样本尚少，仍含收盘日线代理先验,78,6,72,56.98,61.8,-3.2334,-1.2933,2.1841,-0.7001,3.7214,9.9967,-7.5769,-4.0625,-0.8574,-6.1002,0.1141,9.9939,38.6099,39.384,40.7715,39.6207,41.3848,43.8887,36.8768,38.2791,39.5579,37.466,39.9455,43.8876,39.83,55.39,59.01,12.79,18.04,0.0015,-7.5769,-1.5139,已预测触及概率；先涨后跌顺序待T+1分时样本
