rank,ts_code,name,trade_date,update_time,price,pct_chg,amount,pre_day_limitup,today_limitup,limit_rule_pct,sector_name,sector_strength_score,stock_strength_score,acceptance_score,momentum_score,capital_score,pattern_score,liquidity_score,risk_penalty_score,ranking_score,tail_profit_score,tail_profit_eligible,tail_profit_filter_reason,tail_profit_model_version,tail_rank_pct_chg,tail_rank_capital,tail_rank_sector,tail_rank_risk,amount_ratio_5d,close_position,p_limitup_t1_raw,p_limitup_t1,wp_score,feature_coverage,model_confidence,model_version,calibration_method,calibration_sample_count,self_learning_adjustment,signal_level,core_reason,risk_reason
1,000063.SZ,中兴通讯,20260722,2026-07-22 13:48:35,38.03,9.030963302752282,15923944987.57,0,0,10.0,通信设备,77.2144493311069,55.404151850853694,64.22905883677402,64.59131165204373,88.84657968288806,68.50360946258182,100.0,0.0,82.78165201882841,82.75,True,,tail_profit_v1,0.3,1.0,1.0,0.45,1.402736583702714,92.0187793427231,2.8050570508480868,2.8050570508480868,68.63015413602257,94.73684210526315,72.89473684210526,wp_rule_v2_1,none,0,0.0,C级,板块强、量价齐、均价上,分钟缺
2,002897.SZ,意华股份,20260722,2026-07-22 13:48:35,66.58,8.13707974662985,1340173960.09,0,0,10.0,元器件,75.43939393939394,37.71516902237835,41.62933889843607,27.93616186947962,75.86067608951338,50.50047006184539,52.15169022378344,18.0,67.73982891748682,80.5,True,,tail_profit_v1,0.1,0.7,0.9,1.0,1.4808919162979366,85.14211886304902,1.5835992328112978,1.5835992328112978,48.79118551609155,94.73684210526315,68.39473684210526,wp_rule_v2_1,none,0,0.0,D级,板块强、量价齐、均价上,分钟缺、后排
3,601168.SH,西部矿业,20260722,2026-07-22 13:48:35,36.97,9.152642456451131,4269937772.0,0,0,10.0,铜,30.438773153855415,57.8620168556041,53.30593418189809,89.66362520799696,78.59348122146382,74.14404913625253,95.1194948223259,0.0,71.45280768388346,62.75,True,,tail_profit_v1,0.4,0.8,0.5,0.45,1.852997229195169,88.88888888888891,1.8250689480086546,1.8250689480086546,54.79123609619597,94.73684210526315,72.89473684210526,wp_rule_v2_1,none,0,0.0,D级,动量上、量价齐、新高,分钟缺
4,000034.SZ,神州数码,20260722,2026-07-22 13:48:35,27.62,9.429477020602238,3150175133.57,0,0,10.0,软件服务,58.39584515146315,75.98509833290252,84.02307621415291,80.8556934444835,83.25656313740201,87.57846214437167,83.84206835005773,0.0,80.5125318372521,54.25,True,,tail_profit_v1,0.7,0.9,0.7,0.45,1.906414733520068,95.42483660130718,2.574838032235497,2.574838032235497,74.1097921369023,94.73684210526315,72.89473684210526,wp_rule_v2_1,none,0,0.0,C级,个股强、承接好、动量上,分钟缺
5,000571.SZ,新大洲A,20260722,2026-07-22 13:48:35,6.19,8.59649122807018,344253200.09,0,0,10.0,煤炭开采,24.016744764283704,35.753663617794416,49.06547790032465,41.489068640835,41.10695820056171,59.98804500238954,1.7539752222778537,0.0,39.93953269481054,52.75,True,,tail_profit_v1,0.2,0.2,0.25,0.45,1.7051912382889338,89.47368421052641,0.5418440602786178,0.5418440602786178,37.2155398480578,94.73684210526315,72.89473684210526,wp_rule_v2_1,none,0,0.0,D级,量价齐、均价上,分钟缺
6,001229.SZ,魅视科技,20260722,2026-07-22 13:48:35,37.56,9.217795870892708,329300532.98,0,0,10.0,IT设备,58.430439666782775,52.16827770511274,71.6235750979873,51.63446645159007,43.21170183535407,66.43489894295479,0.10739644135969766,0.0,47.55887472127364,51.25,True,,tail_profit_v1,0.5,0.3,0.8,0.45,1.2186048292166591,93.33333333333344,0.7279184828194121,0.7279184828194121,57.702278121752634,94.73684210526315,72.89473684210526,wp_rule_v2_1,none,0,0.0,D级,承接好、量价齐、均价上,分钟缺
7,600722.SH,金牛化工,20260722,2026-07-22 13:48:35,9.89,9.766925638179805,1296426756.0,0,0,10.0,化工原料,57.55547798535394,92.35232945788589,99.8631581466038,96.28113027636284,69.67895430457489,97.52612449373507,50.921108293219355,0.0,73.3151696348561,34.75,True,,tail_profit_v1,0.9,0.6,0.6,0.45,2.200369458304786,98.31932773109249,1.9593804654488556,1.9593804654488556,81.79967207217895,94.73684210526315,72.89473684210526,wp_rule_v2_1,none,0,0.0,D级,个股强、承接好、动量上,分钟缺
8,600400.SH,红豆股份,20260722,2026-07-22 13:48:35,2.7,9.311740890688249,319899548.0,0,0,10.0,服饰,23.32228534656234,60.95966259893849,71.8611056339749,40.86185484671281,40.0,64.93252293583616,0.0,0.0,42.38249020358842,27.25,True,,tail_profit_v1,0.6,0.1,0.1,0.45,1.894042860529928,93.33333333333331,0.5956804670410182,0.5956804670410182,47.9416340119614,94.73684210526315,72.89473684210526,wp_rule_v2_1,none,0,0.0,D级,承接好、量价齐、均价上,分钟缺
9,600403.SH,大有能源,20260722,2026-07-22 13:48:35,5.69,9.845559845559858,699296674.0,0,0,10.0,煤炭开采,24.016744764283704,85.30321823953939,100.0,83.33298140267513,51.6182410698081,89.71327074346613,28.03218239539385,0.0,56.08625288094314,20.25,True,,tail_profit_v1,1.0,0.5,0.25,0.45,1.3792032062552742,98.55072463768118,1.0119317696744967,1.0119317696744967,66.51161377359159,94.73684210526315,72.89473684210526,wp_rule_v2_1,none,0,0.0,D级,个股强、承接好、动量上,分钟缺
10,603580.SH,艾艾精工,20260722,2026-07-22 13:48:35,39.9,9.645507007419615,607366224.0,0,0,10.0,塑料,25.863180929534305,77.15016736646727,91.3379016145485,64.7565434679394,43.45248557218419,83.2937722072439,22.80607091398233,9.294107320704274,47.809582238804516,28.5,False,放量过度,tail_profit_v1,0.8,0.4,0.4,0.9,2.582591150862855,97.879282218597,0.7350145804515495,0.7350145804515495,57.976141127585294,94.73684210526315,70.5712100119292,wp_rule_v2_1,none,0,0.0,D级,个股强、承接好、均价上,分钟缺
